Member_ID,Name,Age,Gender,Address,Phone_Number,Membership_Type,Join_Date,Last_Visit_Date,Favorite_Exercise,Avg_Workout_Duration_Min,Avg_Calories_Burned,Total_Weight_Lifted_kg,Visits_Per_Month,Churn
1,,19.0,Male,"Street 171, City 39",032-51510359,Quarterly,2022-07-23,2022-11-03,Pull-ups,93,214.0,13995.0,18.0,No
2,Shanza,19.0,Female,"Street 111, City 18",039-19243328,Monthly,2023-12-04,2024-02-14,Squats,37,436.0,4612.0,11.0,No
3,Ubaidullah,52.0,Male,"Street 69, City 21",033-60221501,Quarterly,2024-09-13,2024-12-07,Bench Press,98,523.0,3124.0,4.0,Yes
4,Mansoor Ahmed,52.0,Male,"Street 72, City 39",035-55527902,Monthly,2024-06-05,2025-02-24,Pull-ups,66,282.0,4586.0,24.0,No
5,Hanzala,32.0,Male,"Street 6, City 12",038-93946322,Monthly,2022-06-15,2022-12-02,Bench Press,32,522.0,16353.0,18.0,No
6,Arsalan Zafar,53.0,Male,"Street 15, City 27",035-95902365,Quarterly,2022-06-07,2022-09-12,Deadlift,102,250.0,4631.0,23.0,No
7,Kumail,46.0,Male,"Street 35, City 1",039-95163386,Monthly,2023-05-14,2023-07-10,Squats,33,,4926.0,7.0,Yes
8,Jahanzaib,36.0,Male,"Street 25, City 14",039-51007076,Monthly,2022-02-06,2022-05-06,Deadlift,112,722.0,18376.0,16.0,No
9,M. Talha,41.0,Male,"Street 170, City 15",035-81198701,Quarterly,2022-08-25,2023-08-23,Squats,42,226.0,13622.0,22.0,No
10,Ayesha,,Female,"Street 127, City 31",034-55245029,Monthly,2022-03-24,2022-06-26,Pull-ups,74,,2113.0,19.0,No
11,Ammad,23.0,Male,"Street 165, City 47",035-72306131,Yearly,2022-06-09,2022-07-22,Bench Press,56,,5978.0,11.0,No
12,Hammad Arif,22.0,Male,"Street 188, City 37",037-79862568,Quarterly,2022-10-10,2023-04-05,Deadlift,77,529.0,9532.0,5.0,Yes
13,Eman,50.0,Female,"Street 130, City 8",039-37393173,Monthly,2024-01-20,2024-04-23,Squats,60,436.0,18715.0,15.0,No
14,Laiba,22.0,Female,"Street 93, City 32",038-16217295,Yearly,2024-08-23,2025-06-29,Treadmill,37,597.0,1219.0,17.0,No
15,Saeed Mchboob,27.0,Male,"Street 162, City 30",037-54758885,Monthly,2022-10-26,2023-01-16,Treadmill,31,,7611.0,19.0,No
16,Laraib,49.0,Female,"Street 8, City 38",033-94385113,Quarterly,2024-01-12,2024-03-02,Treadmill,86,542.0,11803.0,20.0,No
17,Usman (Bekhri),29.0,Male,"Street 129, City 21",034-34590569,Yearly,2024-08-23,2025-03-26,Pull-ups,34,413.0,8705.0,15.0,No
18,Sidra,36.0,Female,"Street 109, City 12",034-40740608,Yearly,2022-03-10,2023-02-25,Squats,76,376.0,10650.0,21.0,No
19,Amcer Taimoor,45.0,Male,"Street 134, City 35",033-80815106,Yearly,2024-07-10,2024-08-19,Deadlift,112,508.0,2638.0,12.0,No
20,Aiman,28.0,Female,"Street 196, City 24",038-70105097,Quarterly,2023-12-30,2024-11-01,Squats,44,371.0,18888.0,17.0,No
21,Lubna,34.0,Female,"Street 69, City 5",030-11813198,Monthly,2024-01-24,2024-08-05,Cycling,43,,14348.0,24.0,No
22,Humayun Shahzad,39.0,Male,"Street 73, City 45",037-97524932,Yearly,2023-03-14,2024-04-04,Treadmill,58,453.0,7257.0,23.0,No
23,Aena,20.0,Female,"Street 63, City 26",032-48189951,Yearly,2024-04-29,2024-07-30,Pull-ups,47,625.0,8994.0,24.0,No
